Sample	Column	Row	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	21.5	22	22.5	23	23.5	24	24.5	25	25.5	26	26.5	27	27.5	28	28.5	29	29.5	30	30.5	31	31.5	32	32.5	33	33.5	34	34.5	35	35.5	36	36.5	37	37.5	38	38.5	39	39.5	40	40.5	41	41.5	42	42.5	43	43.5	44	44.5	45	45.5	46	46.5	47	47.5	48
3	1	c	0.0941	0.0963	0.0978	0.0988	0.1001	0.1017	0.1044	0.1083	0.1129	0.1198	0.1274	0.1364	0.1479	0.1619	0.1787	0.1981	0.2212	0.2509	0.2865	0.3284	0.3757	0.4313	0.4933	0.5606	0.627	0.6927	0.7605	0.8268	0.8911	0.9466	0.9978	1.0433	1.0872	1.1241	1.1616	1.1957	1.2296	1.2619	1.2927	1.3221	1.3502	1.376	1.3996	1.4218	1.4429	1.4626	1.4728	1.4776	1.4773	1.4715	1.4689	1.4629	1.4575	1.4559	1.4522	1.4509	1.4498	1.4473	1.4471	1.444	1.4432	1.4413	1.4398	1.4392	1.4382	1.437	1.437	1.4358	1.4347	1.4341	1.4325	1.4317	1.4313	1.4315	1.4296	1.4279	1.4299	1.4285	1.4268	1.4259	1.4249	1.4243	1.4241	1.4237	1.4215	1.4214	1.4203	1.4197	1.4182	1.4171	1.4189	1.4193	1.4189	1.4184	1.4164	1.4151	1.4172
4	1	d	0.0989	0.1024	0.0999	0.1027	0.1019	0.1037	0.1059	0.109	0.1178	0.1186	0.1262	0.1385	0.1461	0.1577	0.1743	0.1906	0.2114	0.2388	0.2688	0.307	0.348	0.3978	0.4546	0.5158	0.58	0.6448	0.7105	0.7748	0.8347	0.8919	0.9465	0.9967	1.0429	1.0826	1.1188	1.1539	1.1893	1.2221	1.2529	1.2836	1.3114	1.3393	1.3648	1.388	1.4117	1.4329	1.4488	1.455	1.4581	1.4533	1.4494	1.444	1.4401	1.4367	1.4331	1.4304	1.4282	1.426	1.425	1.4224	1.4214	1.4191	1.4184	1.4169	1.4156	1.4139	1.4139	1.4129	1.4112	1.4103	1.4089	1.4083	1.4072	1.407	1.4055	1.4044	1.4046	1.403	1.4033	1.402	1.4004	1.3996	1.399	1.3986	1.3976	1.3971	1.3966	1.3956	1.3937	1.3949	1.3924	1.3917	1.3908	1.3897	1.3902	1.3897	1.3888
5	1	e	0.0968	0.0991	0.1005	0.102	0.1044	0.1078	0.1131	0.1207	0.13	0.1418	0.1551	0.1702	0.1861	0.2022	0.2212	0.2388	0.2582	0.2761	0.286	0.2934	0.2987	0.3007	0.3006	0.301	0.3009	0.3007	0.3003	0.3009	0.3001	0.2999	0.3006	0.2997	0.2997	0.2989	0.2978	0.2972	0.2963	0.2956	0.2951	0.2935	0.2933	0.2929	0.2915	0.2897	0.2895	0.2888	0.2878	0.2868	0.286	0.2837	0.2828	0.2824	0.282	0.2803	0.2799	0.2801	0.2779	0.2771	0.276	0.2752	0.2741	0.273	0.2723	0.2711	0.2701	0.2693	0.2673	0.2671	0.2655	0.2642	0.2636	0.2614	0.2604	0.2592	0.2583	0.2567	0.2559	0.2551	0.2534	0.2528	0.2515	0.2504	0.2493	0.2484	0.247	0.2459	0.2449	0.2438	0.2429	0.2422	0.2403	0.2394	0.2378	0.2368	0.2357	0.2346	0.2335
6	1	f	0.0943	0.0953	0.0963	0.0973	0.0995	0.1026	0.1072	0.1141	0.1241	0.1347	0.1456	0.1582	0.1716	0.1853	0.2003	0.2151	0.2303	0.2432	0.251	0.2562	0.2597	0.2613	0.2618	0.2614	0.2611	0.2607	0.2603	0.2599	0.2582	0.2585	0.2579	0.2577	0.2569	0.2562	0.256	0.2551	0.2547	0.254	0.2534	0.2528	0.2522	0.2513	0.2504	0.2484	0.2482	0.2476	0.247	0.246	0.2453	0.245	0.2448	0.2437	0.243	0.2423	0.2415	0.2399	0.2395	0.2392	0.2379	0.2369	0.2362	0.2352	0.2346	0.2338	0.233	0.2324	0.2319	0.231	0.2306	0.2303	0.2295	0.2296	0.2298	0.2295	0.2302	0.231	0.2318	0.2334	0.2354	0.2373	0.24	0.243	0.2469	0.2512	0.2555	0.2613	0.2674	0.2748	0.284	0.2954	0.3054	0.3235	0.3405	0.3554	0.376	0.3982	0.4203
7	1	g	0.0947	0.097	0.0981	0.0992	0.1006	0.1022	0.1053	0.1097	0.115	0.1224	0.1299	0.1382	0.1486	0.1607	0.1749	0.1893	0.2043	0.2209	0.2397	0.2561	0.2713	0.2901	0.3035	0.3176	0.3304	0.3422	0.3516	0.3616	0.3702	0.3798	0.3865	0.3942	0.3988	0.4036	0.4094	0.4133	0.4164	0.4178	0.4202	0.4236	0.4247	0.4254	0.4282	0.4256	0.4272	0.4267	0.4312	0.4291	0.4277	0.4262	0.4256	0.4247	0.4237	0.4233	0.422	0.4215	0.4204	0.4198	0.4176	0.4172	0.416	0.4144	0.4137	0.4123	0.4104	0.4082	0.4067	0.4054	0.4037	0.4019	0.3992	0.3993	0.3971	0.3945	0.3936	0.3913	0.3896	0.3886	0.3866	0.3844	0.3827	0.3807	0.3795	0.3771	0.3754	0.3737	0.3714	0.3698	0.3679	0.3658	0.3642	0.3625	0.3588	0.3577	0.3567	0.3547	0.3524
8	1	h	0.1019	0.1026	0.1029	0.1034	0.1043	0.1062	0.1086	0.1123	0.1178	0.1233	0.1311	0.1388	0.1469	0.1572	0.1676	0.1794	0.1921	0.2042	0.217	0.2307	0.2433	0.2546	0.2647	0.276	0.285	0.2948	0.3015	0.3092	0.3161	0.3214	0.3256	0.3298	0.3328	0.3351	0.3371	0.339	0.3403	0.3415	0.342	0.3429	0.3436	0.3439	0.3429	0.3427	0.3424	0.3418	0.3413	0.341	0.3402	0.3396	0.3386	0.338	0.3369	0.3356	0.335	0.3334	0.3315	0.3308	0.3299	0.3278	0.326	0.3246	0.3229	0.3208	0.3197	0.3177	0.3163	0.3152	0.3133	0.3115	0.3104	0.3087	0.3071	0.3051	0.304	0.3023	0.3002	0.2991	0.2975	0.2965	0.295	0.2935	0.2925	0.2911	0.2897	0.2882	0.2869	0.2857	0.2844	0.2836	0.2819	0.2802	0.2792	0.2777	0.2765	0.2758	0.2744
11	2	c	0.0969	0.0986	0.0989	0.1005	0.1021	0.1038	0.1063	0.1114	0.1168	0.1245	0.1333	0.1435	0.1575	0.1747	0.1955	0.2192	0.2536	0.2857	0.3267	0.3771	0.4317	0.4923	0.5575	0.629	0.7042	0.7738	0.8383	0.8979	0.9543	1.005	1.0423	1.0781	1.1143	1.1483	1.181	1.2126	1.2419	1.2705	1.2961	1.321	1.3431	1.3623	1.3799	1.397	1.4125	1.425	1.4348	1.4385	1.4411	1.4399	1.4334	1.4303	1.426	1.4216	1.4208	1.4158	1.4137	1.4128	1.4085	1.4091	1.4083	1.4071	1.4056	1.4047	1.4026	1.4007	1.4	1.3981	1.3967	1.3961	1.3953	1.3925	1.3921	1.3911	1.3901	1.3892	1.3873	1.3861	1.385	1.3851	1.3845	1.3843	1.3836	1.383	1.3814	1.3796	1.3813	1.3811	1.3796	1.3763	1.3748	1.3738	1.3741	1.3745	1.3733	1.3733	1.3729
12	2	d	0.0951	0.0968	0.0972	0.0983	0.0997	0.1017	0.1048	0.11	0.1161	0.1244	0.1343	0.1457	0.1596	0.1766	0.1979	0.2235	0.2551	0.2953	0.3394	0.3919	0.4533	0.5222	0.5954	0.6717	0.7483	0.8232	0.8955	0.9629	1.0226	1.0761	1.1195	1.1558	1.1901	1.2232	1.2558	1.2858	1.313	1.3408	1.3671	1.3915	1.4136	1.4332	1.4514	1.4705	1.4876	1.502	1.514	1.5212	1.524	1.524	1.5196	1.5147	1.511	1.5071	1.5055	1.5031	1.5001	1.4981	1.4964	1.4934	1.4925	1.4914	1.4897	1.4888	1.4874	1.4855	1.4845	1.4832	1.483	1.483	1.4816	1.4798	1.4794	1.4785	1.4773	1.4769	1.4766	1.4756	1.473	1.4732	1.4719	1.4723	1.472	1.4719	1.4702	1.4691	1.4682	1.4692	1.4678	1.4665	1.4651	1.463	1.4631	1.4629	1.4637	1.462	1.461
13	2	e	0.0984	0.0999	0.1008	0.1024	0.1045	0.1076	0.1123	0.1188	0.1266	0.1365	0.1479	0.1605	0.174	0.1887	0.2042	0.2187	0.2346	0.2469	0.2588	0.2624	0.2656	0.2676	0.2686	0.2689	0.2695	0.2683	0.2665	0.2666	0.2654	0.2649	0.2649	0.2641	0.2641	0.2638	0.2629	0.2624	0.2615	0.2611	0.2605	0.2596	0.2588	0.2585	0.2579	0.256	0.2556	0.2549	0.254	0.253	0.2525	0.2513	0.2503	0.2496	0.2491	0.2479	0.2472	0.2469	0.2454	0.2446	0.2436	0.243	0.2418	0.2411	0.2403	0.2391	0.2382	0.2373	0.2361	0.2354	0.2344	0.2337	0.2329	0.231	0.2306	0.2299	0.2291	0.2282	0.2276	0.2265	0.2252	0.2243	0.2235	0.2229	0.2221	0.2209	0.2197	0.2191	0.2185	0.2181	0.2173	0.2163	0.2156	0.2148	0.2139	0.2134	0.2128	0.2119	0.2113
14	2	f	0.096	0.0981	0.0992	0.101	0.1035	0.107	0.1129	0.1209	0.1302	0.1427	0.1552	0.1694	0.1848	0.2012	0.2192	0.2366	0.2547	0.2686	0.2777	0.283	0.2862	0.2873	0.2873	0.287	0.2865	0.2865	0.2865	0.2857	0.285	0.2842	0.2833	0.2825	0.2817	0.2807	0.2803	0.2788	0.2779	0.2769	0.2761	0.2755	0.2739	0.2729	0.2718	0.2711	0.2694	0.269	0.2679	0.2668	0.2659	0.265	0.2644	0.2628	0.262	0.2606	0.2597	0.2582	0.2575	0.2563	0.2548	0.2538	0.2529	0.2513	0.2509	0.2497	0.2481	0.247	0.2456	0.2449	0.2437	0.2426	0.2414	0.2406	0.2393	0.2388	0.2378	0.2366	0.2354	0.2346	0.2336	0.2326	0.232	0.2308	0.2297	0.2285	0.2275	0.2268	0.2257	0.2248	0.2238	0.2226	0.2214	0.2205	0.2199	0.2191	0.2186	0.2175	0.2164
15	2	g	0.0952	0.0969	0.0969	0.0979	0.1	0.102	0.1042	0.1085	0.1142	0.1219	0.1297	0.1372	0.1479	0.1593	0.1725	0.1866	0.2058	0.2138	0.2365	0.2512	0.2634	0.277	0.2885	0.2988	0.3068	0.3155	0.3246	0.3301	0.3341	0.339	0.3425	0.3457	0.3478	0.3499	0.3518	0.353	0.354	0.3549	0.3561	0.3572	0.358	0.3573	0.3553	0.3555	0.3554	0.3556	0.3549	0.3535	0.3529	0.3535	0.3532	0.3516	0.3512	0.3506	0.3494	0.3483	0.3473	0.3453	0.3447	0.3432	0.3409	0.3399	0.3384	0.3371	0.3353	0.3336	0.3314	0.33	0.3282	0.3268	0.3253	0.323	0.3213	0.3196	0.3179	0.3162	0.315	0.3135	0.3117	0.3098	0.3084	0.307	0.3051	0.303	0.3015	0.3004	0.299	0.2974	0.2954	0.2938	0.2912	0.2898	0.2884	0.2869	0.2857	0.2844	0.2826
16	2	h	0.0925	0.0926	0.0929	0.0941	0.0953	0.098	0.101	0.1058	0.1122	0.1195	0.1275	0.1359	0.1459	0.1568	0.1683	0.1808	0.1941	0.2078	0.2213	0.2335	0.2453	0.2563	0.2658	0.2743	0.2808	0.2884	0.2931	0.2952	0.3018	0.3029	0.3068	0.3083	0.3094	0.3103	0.3116	0.3117	0.3125	0.3123	0.3122	0.3119	0.3114	0.3103	0.3101	0.3095	0.3075	0.3079	0.3063	0.3056	0.3042	0.3035	0.3022	0.3008	0.2991	0.2979	0.2971	0.2954	0.2944	0.2923	0.2891	0.2889	0.2871	0.2857	0.2838	0.2822	0.2807	0.279	0.2772	0.2759	0.2746	0.2728	0.2712	0.2696	0.268	0.2666	0.2656	0.2643	0.2623	0.261	0.2595	0.2583	0.2571	0.256	0.2541	0.253	0.2513	0.2505	0.2496	0.2482	0.2465	0.2447	0.2434	0.2424	0.2415	0.2406	0.2395	0.2383	0.2377
19	3	c	0.0983	0.1006	0.1007	0.1022	0.1036	0.1062	0.1105	0.1164	0.1251	0.1369	0.1494	0.1643	0.183	0.2066	0.2395	0.2823	0.3311	0.3833	0.4456	0.5145	0.5869	0.662	0.7374	0.8119	0.8819	0.9428	0.996	1.0429	1.0822	1.1167	1.1493	1.1806	1.2123	1.2424	1.2731	1.3009	1.327	1.3528	1.3753	1.3954	1.4168	1.4355	1.4535	1.4692	1.4868	1.5013	1.5174	1.5336	1.5473	1.557	1.5626	1.5631	1.5625	1.5615	1.5594	1.5577	1.5556	1.5549	1.5546	1.5545	1.5532	1.5529	1.553	1.552	1.5507	1.5508	1.5495	1.5506	1.55	1.5495	1.5485	1.5475	1.5473	1.5474	1.547	1.5465	1.546	1.5452	1.5463	1.5469	1.5465	1.5457	1.5451	1.5448	1.5441	1.5458	1.5455	1.5441	1.5443	1.5425	1.5423	1.5412	1.5412	1.5408	1.5404	1.5414	1.5393
20	3	d	0.0946	0.0974	0.0984	0.0992	0.1011	0.1034	0.1066	0.1117	0.1185	0.1273	0.1385	0.1519	0.1699	0.1936	0.2239	0.2614	0.307	0.3595	0.4171	0.4803	0.5493	0.6209	0.6958	0.7703	0.8422	0.9072	0.963	1.0082	1.0473	1.0854	1.1202	1.1553	1.1914	1.2266	1.2618	1.2935	1.3212	1.3481	1.3732	1.3978	1.4204	1.4425	1.4618	1.4819	1.5001	1.5184	1.5346	1.549	1.5594	1.5646	1.5662	1.565	1.5648	1.5643	1.5634	1.5619	1.5624	1.5618	1.561	1.5623	1.562	1.5618	1.5618	1.5622	1.5629	1.5622	1.5627	1.563	1.5637	1.5627	1.5621	1.5623	1.5617	1.5623	1.5624	1.5628	1.5608	1.5615	1.5623	1.5623	1.5614	1.5613	1.562	1.5604	1.5614	1.5617	1.5616	1.5618	1.5613	1.5603	1.5617	1.561	1.561	1.5607	1.561	1.5606	1.5615
21	3	e	0.1012	0.1021	0.1032	0.1052	0.1072	0.1114	0.1171	0.124	0.1323	0.1445	0.157	0.1691	0.1821	0.1967	0.2117	0.2278	0.2433	0.2564	0.2646	0.2697	0.2714	0.2732	0.2748	0.2745	0.2745	0.2736	0.2733	0.2728	0.2723	0.2717	0.2705	0.2697	0.2692	0.2686	0.2683	0.2674	0.2667	0.2661	0.2655	0.2652	0.2647	0.2627	0.2622	0.2615	0.2599	0.2595	0.2587	0.2577	0.2572	0.2565	0.2557	0.2546	0.2538	0.2533	0.2527	0.2516	0.2503	0.2496	0.2482	0.2482	0.247	0.2466	0.2449	0.2446	0.243	0.2422	0.2411	0.2403	0.2394	0.2385	0.2375	0.2365	0.2356	0.2349	0.2341	0.2329	0.2323	0.2308	0.2305	0.2294	0.2285	0.228	0.2272	0.2258	0.2251	0.2242	0.2232	0.2221	0.2213	0.2197	0.2188	0.2178	0.2177	0.2166	0.2157	0.2154	0.2146
22	3	f	0.0991	0.1003	0.1012	0.1025	0.1044	0.1074	0.1132	0.1216	0.1308	0.1411	0.1529	0.1657	0.1793	0.1938	0.2095	0.2257	0.2409	0.2525	0.2601	0.265	0.2676	0.2686	0.2691	0.27	0.2695	0.2689	0.2674	0.2674	0.2681	0.2662	0.2651	0.2642	0.2636	0.2625	0.262	0.2612	0.2603	0.2596	0.2585	0.2578	0.257	0.2564	0.2555	0.2555	0.2531	0.2529	0.2518	0.251	0.2502	0.2492	0.2477	0.2474	0.2471	0.2461	0.2453	0.2447	0.2431	0.2426	0.2419	0.2409	0.24	0.239	0.2385	0.2374	0.2367	0.2358	0.2348	0.2346	0.2337	0.2331	0.2323	0.2316	0.2311	0.23	0.2298	0.229	0.229	0.2286	0.2289	0.2286	0.2287	0.2284	0.2293	0.2298	0.2307	0.2316	0.2336	0.2356	0.2383	0.2419	0.2452	0.2493	0.2547	0.2605	0.2673	0.2744	0.283
23	3	g	0.0991	0.1014	0.1017	0.1021	0.1041	0.1062	0.1099	0.1145	0.1216	0.1303	0.1393	0.1504	0.161	0.1722	0.1848	0.1996	0.2121	0.234	0.2471	0.2576	0.2681	0.2757	0.2815	0.2865	0.2896	0.2933	0.2955	0.2969	0.2981	0.2982	0.2983	0.2986	0.2988	0.2983	0.2979	0.2976	0.2979	0.298	0.2973	0.2959	0.2959	0.2959	0.2951	0.2952	0.2946	0.2943	0.2922	0.2929	0.2944	0.2942	0.2943	0.2948	0.2957	0.2961	0.2979	0.2993	0.3007	0.3031	0.3053	0.3094	0.3135	0.3177	0.3223	0.3269	0.333	0.3394	0.3478	0.3578	0.367	0.3764	0.3849	0.398	0.4111	0.4233	0.4377	0.4504	0.4637	0.4752	0.4917	0.5106	0.5267	0.545	0.56	0.5782	0.6025	0.6278	0.6535	0.677	0.6971	0.723	0.7491	0.7785	0.8113	0.8345	0.8543	0.8921	0.9309
