time	Mean_OD	SD
0	0.107933333	0.001327487
0.5	0.1098	0.001593738
1	0.1113	0.001232883
1.5	0.1134	0.001267544
2	0.1169	0.001267544
2.5	0.1228	0.00094163
3	0.130566667	0.000817856
3.5	0.1411	0.000653197
4	0.154133333	0.000498888
4.5	0.17	0.000725718
5	0.190333333	0.000124722
5.5	0.2144	0.000496655
6	0.241	0.001134313
6.5	0.2705	0.001208305
7	0.305466667	0.000555778
7.5	0.3496	0.001104536
8	0.403566667	0.001541284
8.5	0.465933333	0.002215601
9	0.531833333	0.002499778
9.5	0.598866667	0.002007209
10	0.6657	0.002222611
10.5	0.7326	0.001699019
11	0.7953	0.002021551
11.5	0.853466667	0.002131249
12	0.909133333	0.002495774
12.5	0.958233333	0.001862495
13	1.0027	0.002237558
13.5	1.043766667	0.002819377
14	1.081633333	0.003308911
14.5	1.1178	0.001283225
15	1.151733333	0.002819377
15.5	1.1827	0.001256981
16	1.214733333	0.00161314
16.5	1.2439	0.003196873
17	1.273466667	0.001602775
17.5	1.297566667	0.001800617
18	1.3234	0.002515287
18.5	1.346666667	0.001228368
19	1.3687	0.001496663
19.5	1.3896	0.002342363
20	1.409166667	0.002392117
20.5	1.4285	0.003510935
21	1.4468	0.00460507
21.5	1.464533333	0.004151573
22	1.4718	0.00420238
22.5	1.474233333	0.006401215
23	1.474566667	0.006311013
23.5	1.472233333	0.006504016
24	1.471466667	0.006753435
24.5	1.470966667	0.004751374
25	1.469733333	0.004974826
25.5	1.468433333	0.004714752
26	1.467333333	0.00624037
26.5	1.466533333	0.005513821
27	1.466566667	0.005184807
27.5	1.464533333	0.005526502
28	1.466066667	0.004716166
28.5	1.464433333	0.006343676
29	1.4645	0.004000833
29.5	1.463333333	0.005257587
30	1.464966667	0.004515406
30.5	1.4631	0.002727636
31	1.463566667	0.003271425
31.5	1.4646	0.005961543
32	1.464233333	0.006218967
32.5	1.4627	0.003476588
33	1.4636	0.0059234
33.5	1.464066667	0.006401215
34	1.4638	0.006125901
34.5	1.4637	0.005881043
35	1.4629	0.005589872
35.5	1.463133333	0.006619332
36	1.462433333	0.003816048
36.5	1.462533333	0.004847221
37	1.463033333	0.003519785
37.5	1.4628	0.003475629
38	1.4626	0.003488075
38.5	1.4629	0.005844656
39	1.463266667	0.006381397
39.5	1.463333333	0.00426953
40	1.463266667	0.003348963
40.5	1.462633333	0.00320659
41	1.463433333	0.004908722
41.5	1.4628	0.003779771
42	1.462666667	0.004413112
42.5	1.463166667	0.005301782
43	1.463366667	0.003472111
43.5	1.463366667	0.0031436
44	1.4631	0.003350622
44.5	1.462966667	0.00583914
45	1.463833333	0.003996943
45.5	1.463866667	0.005338123
46	1.462666667	0.004485037
46.5	1.4631	0.004597826
47	1.463833333	0.005517447
47.5	1.4633	0.005385784
48	1.463533333	0.004642078
