Sample	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	21.5	22	22.5	23	23.5	24	24.5	25	25.5	26	26.5	27	27.5	28	28.5	29	29.5	30	30.5	31	31.5	32	32.5	33	33.5	34	34.5	35	35.5	36	36.5	37	37.5	38	38.5	39	39.5	40	40.5	41	41.5	42	42.5	43	43.5	44	44.5	45	45.5	46	46.5	47	47.5	48
465 AS + Rad 1	0.1097	0.1118	0.1129	0.115	0.1185	0.124	0.1316	0.1419	0.1548	0.1707	0.1902	0.2141	0.2401	0.2695	0.3047	0.3482	0.4015	0.4628	0.5283	0.5963	0.6637	0.7313	0.7925	0.8564	0.9089	0.9595	1.0037	1.0454	1.0856	1.1192	1.1546	1.1844	1.2165	1.2483	1.2746	1.3	1.3262	1.3481	1.3707	1.3929	1.4125	1.4333	1.4533	1.469	1.4773	1.4813	1.4804	1.4791	1.4786	1.4762	1.4746	1.4736	1.4754	1.4734	1.4729	1.472	1.4715	1.4725	1.47	1.4703	1.4708	1.4667	1.4681	1.4725	1.4725	1.4674	1.471	1.4725	1.4721	1.4715	1.4706	1.472	1.4676	1.4693	1.4677	1.4674	1.4671	1.4709	1.4716	1.4691	1.4673	1.4668	1.47	1.4677	1.4682	1.4702	1.4677	1.4672	1.4671	1.4702	1.4679	1.4697	1.4688	1.4692	1.4704	1.4703	1.4697
465 AS + Rad 2	0.1065	0.1079	0.1099	0.1119	0.1154	0.1217	0.1296	0.1403	0.1536	0.169	0.1903	0.214	0.2426	0.2722	0.306	0.3497	0.404	0.4675	0.5335	0.6012	0.6688	0.735	0.7972	0.8526	0.9123	0.9596	1.0048	1.0461	1.0818	1.1181	1.1527	1.1814	1.2126	1.2408	1.2746	1.2957	1.3239	1.3451	1.3671	1.3877	1.407	1.425	1.4439	1.4656	1.471	1.4756	1.4775	1.4741	1.4734	1.472	1.4717	1.4695	1.4664	1.4663	1.4666	1.4628	1.4667	1.4638	1.4629	1.4621	1.4643	1.4625	1.4621	1.4632	1.4627	1.4616	1.4633	1.4627	1.4618	1.4623	1.4606	1.4613	1.4612	1.4601	1.4622	1.462	1.4621	1.4607	1.4621	1.462	1.4634	1.4621	1.4621	1.4622	1.4624	1.4619	1.4632	1.4634	1.4633	1.4628	1.4652	1.4651	1.461	1.462	1.4642	1.4624	1.4624
465 AS + Rad 3	0.1076	0.1097	0.1111	0.1133	0.1168	0.1227	0.1305	0.1411	0.154	0.1703	0.1905	0.2151	0.2403	0.2698	0.3057	0.3509	0.4052	0.4675	0.5337	0.5991	0.6646	0.7315	0.7962	0.8514	0.9062	0.9556	0.9996	1.0398	1.0775	1.1161	1.1479	1.1823	1.2151	1.2426	1.2712	1.297	1.3201	1.3468	1.3683	1.3882	1.408	1.4272	1.4432	1.459	1.4671	1.4658	1.4658	1.4635	1.4624	1.4647	1.4629	1.4622	1.4602	1.4599	1.4602	1.4588	1.46	1.457	1.4606	1.4576	1.4598	1.4601	1.4605	1.4581	1.4575	1.4591	1.4565	1.457	1.4575	1.4573	1.4575	1.4561	1.4585	1.4582	1.4592	1.459	1.4586	1.4571	1.4561	1.4589	1.4591	1.459	1.4582	1.4585	1.4574	1.4574	1.4592	1.4595	1.4589	1.4559	1.4584	1.4568	1.4582	1.4581	1.4569	1.4572	1.4585
466 AS + Rad 1	0.1083	0.1077	0.1069	0.1087	0.1112	0.1162	0.1221	0.131	0.1409	0.1549	0.1686	0.1875	0.2058	0.2266	0.2487	0.2793	0.3178	0.3662	0.4231	0.4855	0.5517	0.6167	0.6839	0.7485	0.8109	0.8717	0.9252	0.9747	1.02	1.0601	1.0912	1.1188	1.1427	1.1639	1.1801	1.2019	1.2169	1.2347	1.2506	1.2652	1.2796	1.293	1.3043	1.3141	1.328	1.3377	1.3481	1.3592	1.3704	1.3825	1.3883	1.3905	1.3906	1.3882	1.3858	1.3847	1.3835	1.3824	1.3835	1.3813	1.3803	1.3795	1.3789	1.3789	1.3796	1.3787	1.3783	1.3775	1.3777	1.3777	1.3787	1.378	1.3773	1.3779	1.3766	1.3769	1.3767	1.3786	1.3776	1.3774	1.3758	1.3752	1.3772	1.3763	1.3773	1.3775	1.3752	1.3755	1.3761	1.377	1.3767	1.3758	1.3763	1.3765	1.3776	1.3775	1.3768
466 AS + Rad 2	0.1102	0.1115	0.1123	0.1131	0.1154	0.1199	0.1254	0.1335	0.1435	0.1561	0.1724	0.1891	0.2074	0.2276	0.25	0.2804	0.3173	0.3652	0.4193	0.482	0.5476	0.6113	0.6748	0.7386	0.7999	0.8596	0.9126	0.9614	1.0048	1.0423	1.0753	1.102	1.1253	1.1473	1.1648	1.1839	1.202	1.2181	1.2339	1.2485	1.2641	1.2779	1.2902	1.3036	1.3133	1.3272	1.338	1.3493	1.3608	1.3705	1.3787	1.38	1.3794	1.3775	1.376	1.3746	1.3726	1.3721	1.3705	1.3707	1.369	1.367	1.3673	1.3675	1.3673	1.3664	1.3664	1.3666	1.3659	1.3668	1.3658	1.3668	1.3654	1.3659	1.3645	1.3644	1.3656	1.3675	1.3673	1.3653	1.3653	1.3655	1.3667	1.3669	1.3666	1.3677	1.3659	1.366	1.3666	1.368	1.3666	1.3667	1.3665	1.3659	1.3673	1.3661	1.365
466 AS + Rad 3	0.1018	0.1032	0.1032	0.1047	0.1075	0.112	0.1182	0.1265	0.1374	0.1508	0.1668	0.1852	0.2045	0.2251	0.2487	0.2767	0.3165	0.3661	0.4228	0.4872	0.5517	0.617	0.6815	0.7428	0.8074	0.8653	0.9201	0.969	1.0124	1.0502	1.0802	1.1049	1.1283	1.1479	1.1689	1.1857	1.2035	1.2206	1.2348	1.2501	1.265	1.278	1.2913	1.3035	1.3156	1.3275	1.3385	1.349	1.3599	1.3695	1.3737	1.3742	1.3725	1.371	1.3699	1.3684	1.3674	1.3656	1.3652	1.3622	1.3645	1.3629	1.3632	1.3636	1.3619	1.362	1.3618	1.3618	1.3618	1.3611	1.3616	1.3602	1.3607	1.3608	1.3611	1.3609	1.3617	1.3598	1.3599	1.3601	1.3606	1.3603	1.3601	1.3606	1.3588	1.3583	1.3597	1.3598	1.3591	1.3576	1.3579	1.3584	1.3575	1.3572	1.3563	1.3571	1.3569
465 MSG + Rad 1	0.1053	0.1075	0.1087	0.1106	0.1135	0.1187	0.1265	0.137	0.1505	0.1682	0.1907	0.215	0.2423	0.2744	0.3118	0.3623	0.4229	0.4922	0.5662	0.6429	0.7194	0.7928	0.8681	0.9383	1.0062	1.0686	1.1267	1.1814	1.2308	1.2767	1.3187	1.3566	1.3911	1.4244	1.452	1.4781	1.5089	1.5304	1.5505	1.5684	1.586	1.6025	1.6148	1.6283	1.6373	1.6423	1.6457	1.6468	1.648	1.6473	1.648	1.6465	1.6478	1.6465	1.647	1.647	1.6474	1.6474	1.648	1.6479	1.6484	1.6472	1.6477	1.6478	1.6483	1.6481	1.6475	1.6479	1.6472	1.6477	1.6481	1.6481	1.648	1.6488	1.6479	1.6472	1.6472	1.6476	1.6478	1.6474	1.647	1.6471	1.6473	1.6469	1.6474	1.648	1.647	1.647	1.6471	1.6483	1.6486	1.647	1.647	1.6481	1.6487	1.6478	1.6471
465 MSG + Rad 2	0.1055	0.1077	0.1081	0.1103	0.1132	0.1183	0.1254	0.1355	0.1482	0.1638	0.1868	0.213	0.2378	0.2683	0.2998	0.3515	0.4124	0.4811	0.5558	0.6312	0.7059	0.7813	0.8548	0.9243	0.9916	1.0563	1.1153	1.1716	1.2228	1.2702	1.3142	1.3538	1.391	1.423	1.4525	1.4793	1.5033	1.5261	1.5459	1.5651	1.5821	1.5983	1.6136	1.6245	1.631	1.6351	1.6366	1.6369	1.6372	1.637	1.6373	1.6377	1.6361	1.6366	1.6363	1.6362	1.6363	1.6361	1.6362	1.6357	1.6368	1.6361	1.636	1.6367	1.6361	1.6365	1.6369	1.6368	1.6377	1.638	1.638	1.637	1.638	1.638	1.6388	1.6384	1.638	1.6385	1.6388	1.6394	1.6399	1.6393	1.6402	1.6398	1.6394	1.6396	1.6401	1.6405	1.6402	1.6398	1.6397	1.6396	1.6395	1.6385	1.639	1.6379	1.6376
465 MSG + Rad 3	0.1006	0.1032	0.1034	0.1049	0.1081	0.113	0.1197	0.1299	0.1422	0.16	0.1916	0.2097	0.2398	0.2666	0.2965	0.3429	0.402	0.4689	0.5432	0.6181	0.6929	0.766	0.8381	0.9088	0.9762	1.0391	1.099	1.1544	1.2056	1.2533	1.2972	1.3368	1.3724	1.4061	1.4366	1.4632	1.4875	1.5096	1.5297	1.5489	1.5669	1.5821	1.5942	1.6083	1.6155	1.62	1.6215	1.6218	1.6233	1.6235	1.6223	1.6222	1.623	1.6229	1.6219	1.622	1.6227	1.6219	1.6217	1.6224	1.6219	1.6222	1.6232	1.6222	1.623	1.6229	1.6235	1.6229	1.6226	1.6235	1.6242	1.6238	1.6231	1.6245	1.6241	1.6235	1.6248	1.6248	1.6247	1.6251	1.6247	1.6248	1.6247	1.6244	1.6254	1.6254	1.625	1.6251	1.6245	1.6244	1.6246	1.6241	1.6236	1.623	1.624	1.6246	1.6242
466 MSG + Rad 1	0.1055	0.1056	0.1058	0.107	0.1092	0.1129	0.1183	0.1266	0.1368	0.1496	0.1645	0.1784	0.195	0.2131	0.2338	0.2611	0.3021	0.3542	0.4155	0.4793	0.5453	0.6098	0.6755	0.7383	0.8037	0.8704	0.9346	0.9949	1.0509	1.0975	1.1354	1.1672	1.1935	1.2132	1.2312	1.2477	1.2612	1.2735	1.2857	1.2958	1.3069	1.3176	1.3278	1.3369	1.3477	1.356	1.3651	1.375	1.3842	1.3919	1.4016	1.41	1.4199	1.4288	1.4377	1.447	1.455	1.4632	1.4699	1.4711	1.4722	1.4707	1.4705	1.4693	1.4686	1.4681	1.4672	1.4662	1.4662	1.4647	1.465	1.4645	1.4638	1.4637	1.4626	1.4626	1.4618	1.4618	1.4616	1.4605	1.4602	1.4596	1.4596	1.4593	1.4592	1.4592	1.4578	1.4575	1.4571	1.4571	1.4575	1.4564	1.4568	1.4564	1.4567	1.4555	1.4553
