YSD	Time	Mean_OD	465_SD
465	0	0.107825	0.001977214
465	0.5	0.1082375	0.002201101
465	1	0.1097125	0.001973853
465	1.5	0.1115125	0.001819641
465	2	0.1145375	0.002287978
465	2.5	0.1189625	0.00212658
465	3	0.1269875	0.002301324
465	3.5	0.137425	0.002755789
465	4	0.1525	0.002772183
465	4.5	0.1712375	0.002370094
465	5	0.19515	0.002894823
465	5.5	0.2236375	0.001915031
465	6	0.257075	0.00185994
465	6.5	0.296825	0.002128233
465	7	0.3441625	0.00384998
465	7.5	0.403725	0.004561729
465	8	0.4742375	0.006295422
465	8.5	0.554275	0.010868389
465	9	0.6435625	0.013898196
465	9.5	0.7356125	0.015102851
465	10	0.8273	0.015901887
465	10.5	0.916375	0.019436612
465	11	1.0018125	0.021945924
465	11.5	1.08295	0.021848341
465	12	1.1656375	0.025048949
465	12.5	1.2495125	0.026582722
465	13	1.3234375	0.025610054
465	13.5	1.3876125	0.027109566
465	14	1.4439375	0.029037645
465	14.5	1.4928125	0.028697014
465	15	1.534375	0.031053734
465	15.5	1.5738625	0.030066299
465	16	1.6078625	0.030343407
465	16.5	1.637675	0.025837219
465	17	1.6545375	0.021194748
465	17.5	1.66705	0.014653242
465	18	1.674425	0.011832661
465	18.5	1.6765875	0.01124816
465	19	1.6787125	0.011622439
465	19.5	1.6793	0.01271849
465	20	1.6782375	0.011316132
465	20.5	1.680075	0.013400909
465	21	1.682	0.013803985
465	21.5	1.68025	0.013793567
465	22	1.6806625	0.013804613
465	22.5	1.68045	0.013609188
465	23	1.6793375	0.013636801
465	23.5	1.6796375	0.01382452
465	24	1.6801875	0.01293024
465	24.5	1.6801	0.013108871
465	25	1.680825	0.014165252
465	25.5	1.6805625	0.014272258
465	26	1.681225	0.014295257
465	26.5	1.680325	0.012847252
465	27	1.6799625	0.014278037
465	27.5	1.68085	0.013866777
465	28	1.6806125	0.014082386
465	28.5	1.679775	0.01362266
465	29	1.682	0.014229459
465	29.5	1.681875	0.013979427
465	30	1.6816875	0.013692921
465	30.5	1.6830625	0.013967815
465	31	1.6831875	0.014495641
465	31.5	1.683275	0.014345448
465	32	1.6834625	0.013750994
465	32.5	1.684225	0.014500927
465	33	1.6856875	0.014448221
465	33.5	1.68545	0.015163443
465	34	1.6857	0.014951923
465	34.5	1.686575	0.01460306
465	35	1.685825	0.013142655
465	35.5	1.68705	0.014665691
465	36	1.6872	0.013864974
465	36.5	1.686775	0.013539918
465	37	1.687225	0.01381781
465	37.5	1.6868625	0.013689498
465	38	1.6876625	0.013970767
465	38.5	1.6881625	0.013684292
465	39	1.68905	0.013940857
465	39.5	1.6878875	0.014377712
465	40	1.6885	0.013724066
465	40.5	1.6892875	0.014364926
465	41	1.6889	0.013324977
465	41.5	1.6888875	0.014330164
465	42	1.6894	0.013448141
465	42.5	1.6894375	0.013601924
465	43	1.690225	0.014364344
465	43.5	1.6902375	0.014689447
465	44	1.6910375	0.014693616
465	44.5	1.691175	0.015239402
465	45	1.691125	0.013791641
465	45.5	1.6913375	0.015336879
465	46	1.6910375	0.015409732
465	46.5	1.69195	0.015405924
465	47	1.69205	0.014986411
465	47.5	1.692025	0.015768303
465	48	1.692025	0.015515053
